NAME                                       VERSION                      TYPE   
@babel/code-frame                          7.5.5                        npm     
@babel/highlight                           7.5.0                        npm     
@colors/colors                             1.5.0                        npm     
@gar/promisify                             1.1.3                        npm     
@isaacs/cliui                              8.0.2                        npm     
@isaacs/string-locale-compare              1.1.0                        npm     
@my-scope/package-a                        0.0.0                        npm     
@my-scope/package-b                        0.0.0                        npm     
@npmcli/arborist                           6.2.9                        npm     
@npmcli/config                             6.1.6                        npm     
@npmcli/disparity-colors                   3.0.0                        npm     
@npmcli/fs                                 2.1.2                        npm     
@npmcli/fs                                 3.1.0                        npm     
@npmcli/git                                4.0.4                        npm     
@npmcli/installed-package-contents         2.0.2                        npm     
@npmcli/map-workspaces                     3.0.4                        npm     
@npmcli/metavuln-calculator                5.0.1                        npm     
@npmcli/move-file                          2.0.1                        npm     
@npmcli/name-from-folder                   2.0.0                        npm     
@npmcli/node-gyp                           3.0.0                        npm     
@npmcli/package-json                       3.0.0                        npm     
@npmcli/promise-spawn                      6.0.2                        npm     
@npmcli/query                              3.0.0                        npm     
@npmcli/run-script                         6.0.1                        npm     
@pkgjs/parseargs                           0.11.0                       npm     
@samverschueren/stream-to-observable       0.3.0                        npm     
@sigstore/protobuf-specs                   0.1.0                        npm     
@tootallnate/once                          2.0.0                        npm     
@tufjs/canonical-json                      1.0.0                        npm     
@tufjs/models                              1.0.4                        npm     
@types/color-name                          1.1.1                        npm     
@types/mime-types                          2.1.0                        npm     
abbrev                                     1.1.1                        npm     
abbrev                                     2.0.0                        npm     
abort-controller                           3.0.0                        npm     
accepts                                    1.3.7                        npm     
acorn                                      5.7.3                        npm     
acorn                                      7.1.0                        npm     
acorn-jsx                                  5.1.0                        npm     
ada-libs                                   2.5.1-r0                     apk     
agent-base                                 5.1.1                        npm     
agent-base                                 6.0.2                        npm     
agentkeepalive                             4.3.0                        npm     
aggregate-error                            3.1.0                        npm     
ajv                                        6.10.2                       npm     
align-text                                 0.1.4                        npm     
alpine-baselayout                          3.4.3-r1                     apk     
alpine-baselayout-data                     3.4.3-r1                     apk     
alpine-keys                                2.4-r1                       apk     
alpine-release                             3.18.2-r0                    apk     
alsa-lib                                   1.2.9-r1                     apk     
alter                                      0.2.0                        npm     
amdefine                                   1.0.1                        npm     
angular                                    1.7.9                        npm     
angular-bootstrap                          0.12.2                       npm     
ansi-colors                                1.1.0                        npm     
ansi-escapes                               3.2.0                        npm     
ansi-gray                                  0.1.1                        npm     
ansi-green                                 0.1.1                        npm     
ansi-regex                                 2.1.1                        npm     
ansi-regex                                 3.0.0                        npm     
ansi-regex                                 4.1.0                        npm     
ansi-regex                                 5.0.1                        npm     
ansi-regex                                 6.0.1                        npm     
ansi-styles                                2.2.1                        npm     
ansi-styles                                3.2.1                        npm     
ansi-styles                                4.2.1                        npm     
ansi-styles                                4.3.0                        npm     
ansi-styles                                6.2.1                        npm     
ansi-wrap                                  0.1.0                        npm     
any-observable                             0.3.0                        npm     
any-promise                                1.3.0                        npm     
anymatch                                   1.3.2                        npm     
anymatch                                   3.1.1                        npm     
aom-libs                                   3.6.1-r0                     apk     
apk-tools                                  2.14.0-r2                    apk     
aproba                                     2.0.0                        npm     
archiver                                   1.3.0                        npm     
archiver-utils                             1.3.0                        npm     
archy                                      1.0.0                        npm     
are-we-there-yet                           3.0.1                        npm     
are-we-there-yet                           4.0.0                        npm     
arg                                        4.1.2                        npm     
argparse                                   1.0.7                        npm     
arr-diff                                   2.0.0                        npm     
arr-diff                                   4.0.0                        npm     
arr-flatten                                1.1.0                        npm     
arr-union                                  3.1.0                        npm     
array-differ                               1.0.0                        npm     
array-flatten                              1.1.1                        npm     
array-includes                             3.0.3                        npm     
array-uniq                                 1.0.3                        npm     
array-unique                               0.2.1                        npm     
array-unique                               0.3.2                        npm     
ascii2mathml                               0.5.4                        npm     
asn1                                       0.1.11                       npm     
asn1                                       0.2.4                        npm     
assert-plus                                0.1.5                        npm     
assert-plus                                0.2.0                        npm     
assert-plus                                1.0.0                        npm     
assign-symbols                             1.0.0                        npm     
ast-traverse                               0.1.1                        npm     
ast-types                                  0.8.12                       npm     
ast-types                                  0.9.6                        npm     
astral-regex                               1.0.0                        npm     
async                                      0.2.10                       npm     
async                                      1.4.2                        npm     
async                                      1.5.2                        npm     
async                                      2.6.3                        npm     
async-each                                 1.0.3                        npm     
async-limiter                              1.0.1                        npm     
asynckit                                   0.4.0                        npm     
at-spi2-core                               2.48.3-r0                    apk     
atob                                       2.1.2                        npm     
avahi-libs                                 0.8-r13                      apk     
aws-sign2                                  0.6.0                        npm     
aws-sign2                                  0.7.0                        npm     
aws4                                       1.8.0                        npm     
babel                                      5.8.38                       npm     
babel-core                                 5.8.38                       npm     
babel-plugin-constant-folding              1.0.1                        npm     
babel-plugin-dead-code-elimination         1.0.2                        npm     
babel-plugin-eval                          1.0.1                        npm     
babel-plugin-inline-environment-variables  1.0.1                        npm     
babel-plugin-jscript                       1.0.4                        npm     
babel-plugin-member-expression-literals    1.0.1                        npm     
babel-plugin-property-literals             1.0.1                        npm     
babel-plugin-proto-to-assign               1.0.4                        npm     
babel-plugin-react-constant-elements       1.0.3                        npm     
babel-plugin-react-display-name            1.0.3                        npm     
babel-plugin-remove-console                1.0.1                        npm     
babel-plugin-remove-debugger               1.0.1                        npm     
babel-plugin-runtime                       1.0.7                        npm     
babel-plugin-undeclared-variables-check    1.0.2                        npm     
babel-plugin-undefined-to-void             1.1.6                        npm     
babylon                                    5.8.38                       npm     
balanced-match                             1.0.0                        npm     
balanced-match                             1.0.2                        npm     
base                                       0.11.2                       npm     
base64-js                                  1.3.1                        npm     
base64-js                                  1.5.1                        npm     
base64url                                  0.0.6                        npm     
base64url                                  1.0.6                        npm     
bash                                       5.2.15-r5                    apk     
basic-auth                                 2.0.1                        npm     
bcrypt-pbkdf                               1.0.2                        npm     
beeper                                     1.1.1                        npm     
bin-links                                  4.0.1                        npm     
binary-extensions                          1.13.1                       npm     
binary-extensions                          2.0.0                        npm     
binary-extensions                          2.2.0                        npm     
bl                                         1.0.3                        npm     
bl                                         1.1.2                        npm     
bluebird                                   2.11.0                       npm     
body-parser                                1.19.0                       npm     
body-scroll-lock                           2.6.4                        npm     
boolbase                                   1.0.0                        npm     
boom                                       2.10.1                       npm     
bootstrap-sass                             3.2.0                        npm     
brace                                      0.11.1                       npm     
brace-expansion                            1.1.11                       npm     
brace-expansion                            2.0.1                        npm     
braces                                     1.8.5                        npm     
braces                                     2.3.2                        npm     
braces                                     3.0.2                        npm     
breakable                                  1.0.0                        npm     
breakdance                                 0.1.7                        npm     
breakdance-util                            0.1.5                        npm     
brotli-libs                                1.0.9-r14                    apk     
buffer                                     5.4.3                        npm     
buffer                                     6.0.3                        npm     
buffer-alloc                               1.2.0                        npm     
buffer-alloc-unsafe                        1.1.0                        npm     
buffer-crc32                               0.2.13                       npm     
buffer-equal-constant-time                 1.0.1                        npm     
buffer-fill                                1.0.0                        npm     
buffer-from                                1.1.1                        npm     
builtins                                   5.0.1                        npm     
busybox                                    1.36.1                       binary  
busybox                                    1.36.1-r2                    apk     
busybox-binsh                              1.36.1-r2                    apk     
bytes                                      3.0.0                        npm     
bytes                                      3.1.0                        npm     
c-ares                                     1.19.1-r0                    apk     
ca-certificates                            20230506-r0                  apk     
ca-certificates-bundle                     20230506-r0                  apk     
cacache                                    16.1.3                       npm     
cacache                                    17.1.0                       npm     
cache-base                                 1.0.1                        npm     
cairo                                      1.17.8-r1                    apk     
cairo-gobject                              1.17.8-r1                    apk     
callsites                                  3.1.0                        npm     
camelcase                                  1.2.1                        npm     
camelcase                                  3.0.0                        npm     
camelcase-keys                             1.0.0                        npm     
caseless                                   0.11.0                       npm     
caseless                                   0.12.0                       npm     
center-align                               0.1.3                        npm     
chalk                                      1.1.3                        npm     
chalk                                      2.4.2                        npm     
chalk                                      3.0.0                        npm     
chalk                                      4.1.2                        npm     
chardet                                    0.7.0                        npm     
cheerio                                    0.22.0                       npm     
chokidar                                   1.7.0                        npm     
chokidar                                   3.3.1                        npm     
chownr                                     2.0.0                        npm     
chromium                                   115.0.5790.170-r0            apk     
ci-info                                    3.8.0                        npm     
cidr-regex                                 3.1.1                        npm     
cjson                                      1.7.15-r4                    apk     
class-utils                                0.3.6                        npm     
clean-stack                                2.2.0                        npm     
cli-columns                                4.0.0                        npm     
cli-cursor                                 2.1.0                        npm     
cli-table3                                 0.6.3                        npm     
cli-truncate                               0.2.1                        npm     
cli-width                                  2.2.0                        npm     
cliui                                      2.1.0                        npm     
cliui                                      3.2.0                        npm     
clone                                      1.0.4                        npm     
clone-stats                                0.0.1                        npm     
cmd-shim                                   6.0.1                        npm     
code-point-at                              1.1.0                        npm     
collection-visit                           1.0.0                        npm     
color-convert                              1.9.3                        npm     
color-convert                              2.0.1                        npm     
color-name                                 1.1.3                        npm     
color-name                                 1.1.4                        npm     
color-support                              1.1.3                        npm     
colors                                     1.4.0                        npm     
columnify                                  1.6.0                        npm     
combined-stream                            1.0.8                        npm     
commander                                  2.20.3                       npm     
common-ancestor-path                       1.0.1                        npm     
commoner                                   0.10.8                       npm     
component-emitter                          1.3.0                        npm     
compress-commons                           1.2.2                        npm     
compressible                               2.0.17                       npm     
compression                                1.7.4                        npm     
concat-map                                 0.0.1                        npm     
concat-stream                              1.4.11                       npm     
concat-stream                              1.6.2                        npm     
connect                                    3.7.0                        npm     
connect-assets                             5.4.0                        npm     
console-control-strings                    1.1.0                        npm     
contains-path                              0.1.0                        npm     
content-disposition                        0.5.2                        npm     
content-disposition                        0.5.3                        npm     
content-type                               1.0.4                        npm     
convert-source-map                         1.6.0                        npm     
cookie                                     0.3.1                        npm     
cookie                                     0.4.0                        npm     
cookie-parser                              1.4.4                        npm     
cookie-session                             1.3.3                        npm     
cookie-signature                           1.0.6                        npm     
cookies                                    0.7.3                        npm     
copy-descriptor                            0.1.1                        npm     
core-js                                    1.2.7                        npm     
core-util-is                               1.0.2                        npm     
corepack                                   0.19.0                       npm     
coreutils                                  9.3-r1                       apk     
crc                                        3.8.0                        npm     
crc32-stream                               2.0.0                        npm     
cross-spawn                                6.0.5                        npm     
cross-spawn                                7.0.3                        npm     
cryptiles                                  2.0.5                        npm     
css-select                                 1.2.0                        npm     
css-what                                   2.1.3                        npm     
cssesc                                     3.0.0                        npm     
csswring                                   5.0.0                        npm     
ctype                                      0.5.3                        npm     
cups-libs                                  2.4.6-r0                     apk     
curl                                       8.2.1-r0                     apk     
dashdash                                   1.14.1                       npm     
date-fns                                   1.30.1                       npm     
dateformat                                 2.2.0                        npm     
dbus-libs                                  1.14.8-r0                    apk     
debug                                      2.6.9                        npm     
debug                                      4.1.1                        npm     
debug                                      4.3.4                        npm     
debug-log                                  1.0.1                        npm     
decamelize                                 1.2.0                        npm     
decode-uri-component                       0.2.0                        npm     
deep-extend                                0.2.11                       npm     
deep-is                                    0.1.3                        npm     
defaults                                   1.0.4                        npm     
